Unnamed: 0,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
0,"iTeknic Wireless Earbuds with 4 Mics, [2020 Upgraded] TWS Bluetooth 5.0 Wireless Earbuds with Dual-Mic Noise Reduction, IPX8 Waterproof, 40H Playtime, True Wireless Headphones for iPhone, Calls, Music",$29.99,0,https://www.amazon.com/iTeknic-Bluetooth-Reduction-Waterproof-Headphones/dp/B086PMM8MT/ref=sr_1_2?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-2,https://m.media-amazon.com/images/I/61inEKUoybL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
1,"iPhone Charger MFi Certified, 3 Pack 6FT Lightning Cable iPhone Cable Nylon Braided and USB Wall Adapter Plug Block Compatible iPhone 11 Pro Max XS XR X 8 7 Plus 6s 6 SE iPad iPod More",$8.99,0,https://www.amazon.com/Charger-Certified-Lightning-Braided-Compatible/dp/B0872PC5ZX/ref=sr_1_3?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-3,https://m.media-amazon.com/images/I/71tIwoCV1nL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
2,"iPhone Charger, Apple MFi Certified Lightning Cable, 6FT Fast Charging Data Sync Transfer Cord with Dual Port USB Wall Charger Compatible iPhone 12 Mini 11 Pro Max XS XR X 8 7 6s 6 Plus SE 5s 5 iPad",$14.99,$15.79,https://www.amazon.com/Certified-Lightning-Charging-Transfer-Compatible/dp/B08HGHGNFF/ref=sr_1_4?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-4,https://m.media-amazon.com/images/I/61O0IBJMewL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
3,"Wireless Earbuds Active Noise Cancelling, Odec ANC Bluetooth 5.0 Wireless Earphones with Charging Case, 4 Mics Clear Call, 30H Playtime in-Ear Hi-Fi Stereo TWS Headphones, USB-C, IPX8 Water-Resistant",$59.99,0,https://www.amazon.com/Cancelling-Bluetooth-Earphones-Headphones-Water-Resistant/dp/B08PBG6KPS/ref=sr_1_5?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-5,https://m.media-amazon.com/images/I/71qPV-Kq1LL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
4,"Flash Drive Photo Stick 128GB Memory Stick USB 3.0 Thumb Drive Compatible for iPhone 6/7/8 Plus 11 Pro XR X XS MAX,Jump Drive for iOS System OTG Android PC,Password Touch ID Encryption PHICOOL Blue",$30.79,0,https://www.amazon.com/Memory-iPhone-Android-Storage-PHICOOL/dp/B07VFNFWD4/ref=sr_1_6?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-6,https://m.media-amazon.com/images/I/71qSYlu1JCL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
5,"5 Pack 6ft Lightning Charging Cables, MFi Certified iPhone Charger USB Data Cord High Speed Cable Compatible with iPhone 12 Mini 11 Pro Max XS XR X 8 7 6S 6 Plus SE 5S 5C 5 iPad AirPods Pro",$12.98,0,https://www.amazon.com/Lightning-Charging-Certified-Charger-Compatible/dp/B08LB6ZJTT/ref=sr_1_7?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-7,https://m.media-amazon.com/images/I/61Rlhxpau-L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
6,"Wireless Earbuds, Bluetooth Earbuds with 4 Mics, CVC 8.0 Noise Reduction for Clear Calls, AptX Deep Bass, 40 Hrs Playtime, IPX8 Waterproof, USB-C Quick Charging Case, Touch Control - iTeknic",$24.99,$59.99,https://www.amazon.com/Wireless-Bluetooth-Reduction-Playtime-Waterproof/dp/B087BNMJK3/ref=sr_1_8?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-8,https://m.media-amazon.com/images/I/81CpGO61BSL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
7,AMINY Bluetooth Headset Wireless Bluetooth Earpiece-Compatible with Android/iPhone/Smartphones/Laptop-16 Hrs Playing Time V5.0 Bluetooth Earbuds Wireless Headphones with Noise Cancelling Mic,$23.99,0,https://www.amazon.com/AMINY-Earpiece-Compatible-Smartphones-Headphones-Cancelling/dp/B08JVF3D18/ref=sr_1_10?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-10,https://m.media-amazon.com/images/I/61WNxMnGIIL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
8,GADEWAKE Womens Casual Color Block Long Sleeve Round Neck Pocket T Shirts Blouses Sweatshirts Tops,$19.99,0,https://www.amazon.com/GADEWAKE-Womens-Casual-Blouses-Sweatshirts/dp/B07Y2YG1RF/ref=sr_1_11?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-11,https://m.media-amazon.com/images/I/71uYGq1BD9L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
9,"Wireless Earbuds,True Bluetooth 5.0 Headphones with USB-C & Wireless Charging Case,VEATOOL Hi-Fi Stereo & Waterproof 30H Playtime Twins Bluetooth Earphones,Touch Control Headset with Microphone",$39.99,0,https://www.amazon.com/Bluetooth-Headphones-VEATOOL-Waterproof-Microphone/dp/B08LKXBHX9/ref=sr_1_12?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-12,https://m.media-amazon.com/images/I/71Br2H2s6jL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
