,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
0,Bluedio T-elf 2 Bluetooth TWS Earphone In Ear  Wireless Waterproof Sport Earbuds,14.99,33.99 ,https://www.ebay.com/itm/Bluedio-T-elf-2-Bluetooth-TWS-Earphone-In-Ear-Wireless-Waterproof-Sport-Earbuds/392808564148,https://i.ebayimg.com/images/g/bgkAAOSwv7xf8emF/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
1,Sennheiser HD-599 - Certified Refurbished,149.95,199.95 ,https://www.ebay.com/itm/Sennheiser-HD-599-Certified-Refurbished/373382883912,https://i.ebayimg.com/images/g/4QoAAOSwLYdf8ffy/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
2,Beats by Dr. Dre Solo 2 Wired On-Ear Headphone Headband Solo2 NOT WIRELESS,79.99,149.99 ,https://www.ebay.com/itm/Beats-by-Dr-Dre-Solo-2-Wired-On-Ear-Headphone-Headband-Solo2-NOT-WIRELESS/254462588628,https://i.ebayimg.com/images/g/5jIAAOSwxcteAkAP/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
3,JBL Reflect Flow True Wireless Sport In-Ear Teal Headphone Certified Refurbished,89.99,107.99 ,https://www.ebay.com/itm/JBL-Reflect-Flow-True-Wireless-Sport-In-Ear-Teal-Headphone-Certified-Refurbished/133471150921,https://i.ebayimg.com/images/g/y1cAAOSw5~tf8fhA/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
4,4MP PT Smart Home Security WIFI Camera Pan Tilt 2-Way Audio Reolink E1 Pro,34.99,49.99 ,https://www.ebay.com/itm/4MP-PT-Smart-Home-Security-WIFI-Camera-Pan-Tilt-2-Way-Audio-Reolink-E1-Pro/133096339364,https://i.ebayimg.com/images/g/rCoAAOSwXGdfUNPb/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
5,"Lenovo ThinkPad T490S, 14"" FHD IPS, i5-8365U vPro, 16 GB, 256 GB SSD, Win 10 Pro",699.99,"2,649.00 ",https://www.ebay.com/itm/Lenovo-ThinkPad-T490S-14-FHD-IPS-i5-8365U-vPro-16-GB-256-GB-SSD-Win-10-Pro/154067446137,https://i.ebayimg.com/images/g/Ql0AAOSwZ-5f4hqB/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
6,Samsung G920 Galaxy S6 32GB Verizon Wireless 4G LTE Android Smartphone,84.95,800.00 ,https://www.ebay.com/itm/Samsung-G920-Galaxy-S6-32GB-Verizon-Wireless-4G-LTE-Android-Smartphone/361508973331,https://i.ebayimg.com/images/g/H~UAAOSw9NdXqM7k/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
7,Samsung Galaxy S8 SM-G950U 64GB Factory Unlocked Android Smartphone,179.99,720.00 ,https://www.ebay.com/itm/Samsung-Galaxy-S8-SM-G950U-64GB-Factory-Unlocked-Android-Smartphone/253756799831,https://i.ebayimg.com/images/g/I4UAAOSw~9hdi8fj/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
8,Apple iPhone X 64GB Factory Unlocked Smartphone,349.99,999.99 ,https://www.ebay.com/itm/Apple-iPhone-X-64GB-Factory-Unlocked-Smartphone/254187579586,https://i.ebayimg.com/images/g/ZPQAAOSwD6VdpL~9/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
9,"Apple 15"" MacBook Pro Retina Core i7 2.9GHz 16GB RAM 1TB SSD BTO/CTO (2016)","1,649.00","3,199.00 ",https://www.ebay.com/itm/Apple-15-MacBook-Pro-Retina-Core-i7-2-9GHz-16GB-RAM-1TB-SSD-BTO-CTO-2016/224193290637,https://i.ebayimg.com/images/g/~iUAAOSw5eBfhgpC/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
10,"Microsoft Surface Book2 13.5"" 2-in-1 Intel i7-8650U 8GB RAM 256GB SSD GTX1050","1,224.99","1,299.99 ",https://www.ebay.com/itm/Microsoft-Surface-Book2-13-5-2-in-1-Intel-i7-8650U-8GB-RAM-256GB-SSD-GTX1050/174102005780,https://i.ebayimg.com/images/g/SxEAAOSwYAdd1X7f/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
11,"Acer 15.6"" Predator Triton 700 Intel i7-7700HQ 2.8GHz 32GB Ram 512GB SSD W10H","1,699.99","2,699.99 ",https://www.ebay.com/itm/Acer-15-6-Predator-Triton-700-Intel-i7-7700HQ-2-8GHz-32GB-Ram-512GB-SSD-W10H/254373528976,https://i.ebayimg.com/images/g/c9YAAOSwePReFO5A/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
12,Sony Progressive Scan DVD Player-Brand New w/ Free Shipping,33.00,39.99 ,https://www.ebay.com/itm/Sony-Progressive-Scan-DVD-Player-Brand-New-w-Free-Shipping/201370310548,https://i.ebayimg.com/images/g/yygAAOSwYDZeF2hn/s-l300.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
13,RCA 3-Device Palm-Sized Universal Remote RCR503BE,7.99,9.99 ,https://www.ebay.com/itm/RCA-3-Device-Palm-Sized-Universal-Remote-RCR503BE/191516040709,https://i.ebayimg.com/images/g/G7AAAOSwpDdU5hwY/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
14,"SAMSUNG TU-8000 65""  8 Series Crystal UHD 4K HDR Smart TV - 3 HDMI",774.90,"1,199.95 ",https://www.ebay.com/itm/SAMSUNG-TU-8000-65-8-Series-Crystal-UHD-4K-HDR-Smart-TV-3-HDMI/224073787693,https://i.ebayimg.com/images/g/AdAAAOSwHqRfB0Gq/s-l225.jpg,ebay,2021-01-03T22:49:59,https://www.ebay.com/deals/tech
