,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
0,Freedom Mobile  Boxing week! iPhone 11 ABSOLUTE $0 $55/20GB (extra $200 GC if you got it from Walmart),,,https://www.freedommobile.ca/en-CA,,Freedom Mobile,2020-12-29T20:46:38,https://forums.redflagdeals.com/freedom-mobile-boxing-week-iphone-11-absolute-0-55-20gb-extra-200-gc-if-you-got-walmart-2433410/
1,Amazon.ca  Anker Eufy C1 Smart Scale $39.99 after $10 coupon,,,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07GZBXCH6%2Fref%3Dppx_yo_dt_b_asin_title_o00_s00%3Fie%3DUTF8%26psc%3D1&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,,Amazon.ca,2020-12-29T20:46:38,https://forums.redflagdeals.com/amazon-ca-anker-eufy-c1-smart-scale-39-99-after-10-coupon-2433811/
2,"Lenovo Canada  ThinkBook 13s Intel ""evo"" laptop 2.5K touch screen, I7-1165G7,16G 4266MHz DDR4X , 512GB SSD $1,039.05","1,039.05",,http://lenovo.evyy.net/c/341376/225728/3899?u=https%3A%2F%2Fwww.lenovo.com%2Fca%2Fen%2Fperkopolisgold%2Flaptops%2Fthinkbook-series%2FThinkBook-13s-Gen-2-Intel%2Fp%2FXXTBXTSI300,,Lenovo Canada,2020-12-29T20:46:38,https://forums.redflagdeals.com/lenovo-canada-thinkbook-13s-intel-evo-laptop-2-5k-touch-screen-i7-1165g7-16g-4266mhz-ddr4x-512gb-ssd-1-039-05-2433989/
3,"Costco  (Warm) Sony x900h 65"" TV - $1498 back in stock",$1498,,https://www.costco.ca/.product.9199065.html,,Costco,2020-12-29T20:46:38,https://forums.redflagdeals.com/costco-warm-sony-x900h-65-tv-1498-back-stock-2432361/
4,Amazon.ca  Picture Hanging Strips (1.50$ instead of 4.97$) Free shipping with prime. Max 2. UPDATE : The deal is expired.,1.50,,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB00EZ0QMQW%2F%3Fcoliid%3DI1OYF0CQBW5B16%26colid%3D3C91ZT0OO9ZUE%26psc%3D1%26ref_%3Dlv_ov_lig_dp_it&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,,Amazon.ca,2020-12-29T20:46:38,https://forums.redflagdeals.com/amazon-ca-picture-hanging-strips-1-50-instead-4-97-free-shipping-prime-max-2-update-deal-expired-2433980/
5,Home Depot  Milwaukee M12 FUEL 12V Li-Ion Brushless Cordless 1/4-inch Hex Impact Driver Kit with (2) 2.0Ah Batteries $119+taxes,119,,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/milwaukee-tool-m12-fuel-12v-li-ion-brushless-cordless-1-4-inch-hex-impact-driver-kit-with-2-2-0ah-batteries/1001160184,,Home Depot,2020-12-29T20:46:38,https://forums.redflagdeals.com/home-depot-milwaukee-m12-fuel-12v-li-ion-brushless-cordless-1-4-inch-hex-impact-driver-kit-2-2-0ah-batteries-119-taxes-2433898/
6,"Kasa and D-Link Outdoor Smart Plug with USB, IP6 waterproof $24.99 & $29.99 respectively",24.99,,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07M6RS2LC%2Fref%3Dppx_yo_dt_b_asin_title_o00_s00%3Fie%3DUTF8%26psc%3D1&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,,,2020-12-29T20:46:38,https://forums.redflagdeals.com/kasa-d-link-outdoor-smart-plug-usb-ip6-waterproof-24-99-29-99-respectively-2433915/
7,"[Maison Monaco] Watch 20% off, TAG, Longines, Oris, Hamilton",,,https://www.lamaisonmonaco.com/,,Maison Monaco,2020-12-29T20:46:38,https://forums.redflagdeals.com/maison-monaco-watch-20-off-tag-longines-oris-hamilton-2433819/
8,Costco  Costco.ca: Ooma home phone service bundle $79.99 (+eco fees) $50 OFF--- $5 to $10/month home phone,$79.99,,https://www.costco.ca/ooma-telo-home-phone-service-bundle.product.100138378.html,,Costco,2020-12-29T20:46:38,https://forums.redflagdeals.com/costco-costco-ca-ooma-home-phone-service-bundle-79-99-eco-fees-50-off-5-10-month-home-phone-2432415/
9,Home Depot  Milwaukee M18 XC 4.0 Battery $59,59,,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/milwaukee-tool-m18-18v-lithium-ion-extended-capacity-xc-4-0-ah-redlithium-battery-pack/1000784604,,Home Depot,2020-12-29T20:46:38,https://forums.redflagdeals.com/home-depot-milwaukee-m18-xc-4-0-battery-59-2432297/
